ID,Gender,Education,Alcohol(Class),Cannabis(Class),Crack(Class),Heroin(Class)
327.0,Hombre,Dejó la escuela a los 18 años,Ayer,En el último mes,Nunca,Nunca
328.0,Hombre,Maestría finalizada,Ayer,Nunca,Nunca,Nunca
329.0,Mujer,Diploma/certificado profesional,En la última semana,Hace mas de una decada,Nunca,Nunca
330.0,Hombre,Diploma/certificado profesional,En el último mes,Hace mas de una decada,Nunca,Nunca
331.0,Mujer,Diploma/certificado profesional,Hace mas de una decada,Nunca,Nunca,Nunca
332.0,Hombre,Dejó la escuela antes de los 16 años,Ayer,En la última semana,En la última semana,Nunca
333.0,Mujer,Dejó la escuela a los 18 años,Nunca,Nunca,Nunca,Nunca
334.0,Mujer,Educación Técnica o de Universidad(No finalizada),Ayer,En el último año,Nunca,Nunca
335.0,Hombre,Educación Técnica o de Universidad(No finalizada),En el último mes,Nunca,Nunca,Nunca
336.0,Mujer,Dejó la escuela a los 16 años,En el último mes,Nunca,Nunca,Nunca
337.0,Mujer,Maestría finalizada,Ayer,En la última decada,Nunca,Nunca
338.0,Mujer,Maestría finalizada,En la última semana,Nunca,Nunca,Nunca
339.0,Mujer,Diploma/certificado profesional,En la última semana,En la última semana,Hace mas de una decada,Nunca
340.0,Hombre,Doctorado finalizado,Ayer,Nunca,Nunca,Nunca
341.0,Mujer,Diploma/certificado profesional,En la última semana,Nunca,Nunca,Nunca
342.0,Mujer,Maestría finalizada,En la última semana,Ayer,Nunca,Nunca
343.0,Mujer,Diploma/certificado profesional,En la última semana,Nunca,Nunca,Nunca
344.0,Mujer,Diploma/certificado profesional,Hace mas de una decada,Nunca,Nunca,Nunca
345.0,Mujer,Dejó la escuela antes de los 16 años,En la última semana,Ayer,En la última semana,En la última decada
346.0,Mujer,Maestría finalizada,Hace mas de una decada,Hace mas de una decada,Hace mas de una decada,Hace mas de una decada
347.0,Mujer,Grado Universitario,En la última decada,En la última semana,Nunca,Nunca
348.0,Mujer,Grado Universitario,Ayer,En la última decada,Nunca,Nunca
349.0,Hombre,Maestría finalizada,En la última decada,Hace mas de una decada,Nunca,En la última semana
350.0,Hombre,Diploma/certificado profesional,Ayer,Nunca,Nunca,Nunca
351.0,Hombre,Grado Universitario,En la última semana,En la última decada,Nunca,Nunca
352.0,Mujer,Educación Técnica o de Universidad(No finalizada),En el último mes,En la última semana,En la última semana,En la última semana
353.0,Hombre,Diploma/certificado profesional,En la última semana,En el último mes,En la última semana,En la última semana
354.0,Hombre,Grado Universitario,Hace mas de una decada,Hace mas de una decada,Hace mas de una decada,Hace mas de una decada
355.0,Hombre,Dejó la escuela a los 16 años,En la última decada,En la última semana,Nunca,Nunca
356.0,Hombre,Diploma/certificado profesional,En la última decada,Hace mas de una decada,En la última semana,En la última semana
357.0,Hombre,Dejó la escuela antes de los 16 años,Ayer,En la última decada,En la última decada,En la última semana
358.0,Hombre,Grado Universitario,Ayer,Hace mas de una decada,Nunca,Nunca
359.0,Hombre,Dejó la escuela a los 16 años,En el último año,En la última decada,Nunca,Hace mas de una decada
360.0,Hombre,Educación Técnica o de Universidad(No finalizada),En la última decada,En la última semana,Nunca,Nunca
361.0,Mujer,Educación Técnica o de Universidad(No finalizada),En la última semana,En la última semana,En la última semana,En la última semana
362.0,Mujer,Grado Universitario,En la última decada,En la última semana,Nunca,Nunca
363.0,Mujer,Diploma/certificado profesional,En la última semana,En la última decada,En la última semana,En la última semana
364.0,Hombre,Grado Universitario,En la última decada,En la última semana,En la última semana,En la última semana
365.0,Mujer,Diploma/certificado profesional,En la última semana,Nunca,Nunca,Nunca
366.0,Mujer,Doctorado finalizado,En la última semana,Hace mas de una decada,Nunca,Nunca
367.0,Hombre,Diploma/certificado profesional,En la última semana,Hace mas de una decada,Nunca,Nunca
368.0,Mujer,Grado Universitario,Nunca,Nunca,Nunca,Nunca
369.0,Mujer,Grado Universitario,En la última semana,En la última semana,Nunca,Nunca
370.0,Hombre,Diploma/certificado profesional,Ayer,Ayer,Nunca,Nunca
371.0,Mujer,Grado Universitario,En el último año,En la última semana,En la última semana,En la última semana
372.0,Hombre,Dejó la escuela a los 18 años,En la última semana,Ayer,Nunca,Nunca
373.0,Mujer,Grado Universitario,En la última semana,En la última semana,Nunca,Nunca
374.0,Mujer,Educación Técnica o de Universidad(No finalizada),En la última semana,En la última decada,Nunca,Nunca
375.0,Hombre,Grado Universitario,Ayer,En el último mes,Nunca,Nunca
376.0,Mujer,Maestría finalizada,Ayer,Nunca,Nunca,Nunca
377.0,Hombre,Diploma/certificado profesional,Ayer,Nunca,Nunca,Nunca
378.0,Mujer,Maestría finalizada,En la última semana,En la última semana,Nunca,Nunca
379.0,Mujer,Grado Universitario,En la última semana,Hace mas de una decada,Nunca,Nunca
380.0,Hombre,Maestría finalizada,Nunca,Nunca,Nunca,Nunca
381.0,Mujer,Diploma/certificado profesional,Ayer,Hace mas de una decada,Nunca,Nunca
382.0,Hombre,Grado Universitario,En la última decada,En la última semana,En la última semana,Nunca
383.0,Hombre,Dejó la escuela a los 16 años,En el último mes,Ayer,Nunca,Nunca
384.0,Mujer,Maestría finalizada,En la última semana,Hace mas de una decada,Nunca,Nunca
385.0,Mujer,Grado Universitario,En la última semana,Nunca,Nunca,Nunca
386.0,Mujer,Grado Universitario,Hace mas de una decada,Nunca,Nunca,Nunca
387.0,Hombre,Diploma/certificado profesional,En la última semana,En la última semana,Nunca,Nunca
388.0,Hombre,Dejó la escuela a los 18 años,En el último mes,Nunca,Nunca,Nunca
389.0,Hombre,Grado Universitario,Nunca,Nunca,Nunca,Nunca
390.0,Hombre,Diploma/certificado profesional,En el último año,Hace mas de una decada,Nunca,Nunca
391.0,Hombre,Doctorado finalizado,En la última semana,Hace mas de una decada,Nunca,Nunca
392.0,Mujer,Educación Técnica o de Universidad(No finalizada),En la última decada,Hace mas de una decada,Nunca,Nunca
393.0,Mujer,Grado Universitario,En la última semana,En la última semana,Nunca,Nunca
394.0,Mujer,Dejó la escuela a los 17 años,En la última semana,Nunca,Nunca,Nunca
395.0,Mujer,Diploma/certificado profesional,Ayer,Nunca,Nunca,Nunca
396.0,Hombre,Diploma/certificado profesional,Ayer,Hace mas de una decada,Hace mas de una decada,Nunca
397.0,Hombre,Grado Universitario,Ayer,En la última semana,Nunca,Nunca
398.0,Mujer,Grado Universitario,Ayer,En la última semana,Nunca,Nunca
399.0,Hombre,Diploma/certificado profesional,Ayer,Nunca,Nunca,Nunca
400.0,Mujer,Maestría finalizada,Ayer,En el último año,Nunca,Nunca
401.0,Hombre,Maestría finalizada,Hace mas de una decada,Hace mas de una decada,Nunca,Nunca
402.0,Mujer,Dejó la escuela a los 18 años,En el último mes,Hace mas de una decada,Nunca,Nunca
403.0,Hombre,Dejó la escuela a los 16 años,En la última semana,Ayer,Nunca,Nunca
404.0,Hombre,Educación Técnica o de Universidad(No finalizada),En la última semana,En el último año,Nunca,Nunca
405.0,Hombre,Grado Universitario,En la última semana,En el último año,Nunca,Nunca
406.0,Hombre,Dejó la escuela a los 17 años,En el último año,Ayer,Nunca,Nunca
407.0,Mujer,Dejó la escuela antes de los 16 años,En la última semana,En el último año,Nunca,Nunca
408.0,Mujer,Grado Universitario,En el último año,Ayer,Nunca,Nunca
409.0,Hombre,Dejó la escuela a los 17 años,Ayer,Ayer,Hace mas de una decada,Nunca
410.0,Hombre,Grado Universitario,En el último año,Ayer,Nunca,Nunca
411.0,Mujer,Diploma/certificado profesional,Hace mas de una decada,Ayer,Nunca,Nunca
412.0,Hombre,Dejó la escuela a los 18 años,En la última semana,Ayer,Nunca,Hace mas de una decada
413.0,Mujer,Educación Técnica o de Universidad(No finalizada),En el último año,Hace mas de una decada,Hace mas de una decada,Nunca
414.0,Mujer,Grado Universitario,Ayer,En la última semana,Nunca,Nunca
415.0,Hombre,Educación Técnica o de Universidad(No finalizada),En la última semana,Ayer,Nunca,Nunca
416.0,Mujer,Educación Técnica o de Universidad(No finalizada),Ayer,Hace mas de una decada,Nunca,Nunca
417.0,Hombre,Dejó la escuela a los 18 años,Ayer,Ayer,Nunca,Nunca
418.0,Hombre,Educación Técnica o de Universidad(No finalizada),En la última semana,Ayer,Nunca,Nunca
419.0,Hombre,Educación Técnica o de Universidad(No finalizada),En la última semana,En la última semana,En la última semana,Nunca
420.0,Mujer,Doctorado finalizado,Ayer,En el último mes,Nunca,Nunca
421.0,Hombre,Grado Universitario,Ayer,Nunca,Nunca,Nunca
422.0,Hombre,Dejó la escuela a los 18 años,En el último mes,Ayer,Nunca,Nunca
423.0,Hombre,Educación Técnica o de Universidad(No finalizada),En la última semana,En la última semana,Nunca,Nunca
424.0,Hombre,Diploma/certificado profesional,En el último mes,Ayer,Nunca,Nunca
425.0,Mujer,Grado Universitario,Ayer,Nunca,Nunca,Nunca
426.0,Mujer,Doctorado finalizado,En el último año,Ayer,Hace mas de una decada,Hace mas de una decada
427.0,Hombre,Grado Universitario,Ayer,En el último año,Nunca,Nunca
428.0,Hombre,Dejó la escuela a los 16 años,En la última semana,Hace mas de una decada,Nunca,Nunca
429.0,Hombre,Grado Universitario,Ayer,Ayer,Nunca,Nunca
430.0,Mujer,Dejó la escuela a los 18 años,En la última semana,En la última semana,Nunca,Nunca
431.0,Hombre,Dejó la escuela antes de los 16 años,En la última semana,Hace mas de una decada,Nunca,Nunca
432.0,Mujer,Dejó la escuela a los 18 años,En la última semana,En la última semana,Nunca,Nunca
433.0,Hombre,Grado Universitario,En la última semana,Nunca,Nunca,Nunca
434.0,Mujer,Dejó la escuela a los 16 años,Ayer,En la última semana,Nunca,Nunca
435.0,Mujer,Grado Universitario,En la última semana,Nunca,Nunca,Nunca
436.0,Mujer,Grado Universitario,En el último mes,Nunca,Nunca,Nunca
437.0,Hombre,Educación Técnica o de Universidad(No finalizada),Hace mas de una decada,Ayer,Nunca,Nunca
438.0,Hombre,Dejó la escuela a los 16 años,Ayer,Ayer,En el último año,En la última semana
439.0,Mujer,Grado Universitario,En la última semana,En la última semana,En la última semana,En la última semana
440.0,Mujer,Educación Técnica o de Universidad(No finalizada),En el último mes,En el último mes,Nunca,Nunca
441.0,Mujer,Grado Universitario,Ayer,En la última semana,Nunca,Nunca
442.0,Mujer,Educación Técnica o de Universidad(No finalizada),En el último año,En la última semana,Nunca,Nunca
443.0,Mujer,Maestría finalizada,En la última semana,Ayer,Nunca,Nunca
444.0,Hombre,Dejó la escuela a los 16 años,En la última semana,Hace mas de una decada,Nunca,Nunca
445.0,Mujer,Diploma/certificado profesional,En la última semana,Nunca,Nunca,Nunca
446.0,Mujer,Grado Universitario,En la última semana,Nunca,Nunca,Nunca
447.0,Mujer,Grado Universitario,Ayer,En la última decada,Nunca,Nunca
448.0,Hombre,Maestría finalizada,Ayer,En la última semana,Nunca,Nunca
449.0,Mujer,Educación Técnica o de Universidad(No finalizada),En la última semana,En la última decada,Nunca,Nunca
450.0,Hombre,Grado Universitario,En la última semana,En la última decada,Nunca,Nunca
451.0,Mujer,Grado Universitario,En la última semana,En el último año,En la última semana,Nunca
452.0,Mujer,Maestría finalizada,En la última semana,En la última semana,Nunca,Nunca
453.0,Mujer,Grado Universitario,En la última semana,En la última semana,Nunca,Nunca
454.0,Hombre,Grado Universitario,En la última semana,En la última decada,Nunca,Nunca
455.0,Hombre,Doctorado finalizado,Ayer,Ayer,En la última semana,En el último año
456.0,Mujer,Grado Universitario,Ayer,En la última decada,Nunca,Nunca
457.0,Hombre,Grado Universitario,Ayer,En el último mes,Hace mas de una decada,En la última decada
458.0,Mujer,Maestría finalizada,En la última semana,Hace mas de una decada,Nunca,Nunca
459.0,Mujer,Grado Universitario,Ayer,Ayer,Nunca,Nunca
460.0,Hombre,Maestría finalizada,En el último mes,En el último mes,Nunca,Nunca
461.0,Mujer,Grado Universitario,Ayer,En el último año,Nunca,En la última decada
462.0,Hombre,Educación Técnica o de Universidad(No finalizada),En la última semana,En la última semana,Nunca,Nunca
463.0,Hombre,Educación Técnica o de Universidad(No finalizada),En el último año,En la última semana,Nunca,Nunca
464.0,Hombre,Dejó la escuela a los 18 años,Ayer,Hace mas de una decada,Nunca,Nunca
465.0,Mujer,Grado Universitario,En la última semana,En la última decada,Nunca,Nunca
466.0,Mujer,Maestría finalizada,En la última semana,En la última semana,Nunca,Nunca
467.0,Mujer,Grado Universitario,Nunca,Ayer,Nunca,Nunca
468.0,Hombre,Grado Universitario,Ayer,Hace mas de una decada,Nunca,Nunca
469.0,Hombre,Grado Universitario,Ayer,Nunca,Nunca,Nunca
470.0,Hombre,Grado Universitario,En la última semana,En la última decada,Nunca,Nunca
471.0,Mujer,Dejó la escuela a los 16 años,En el último año,Hace mas de una decada,Hace mas de una decada,En la última semana
472.0,Mujer,Grado Universitario,En el último mes,Nunca,Nunca,Nunca
473.0,Hombre,Maestría finalizada,En la última semana,Ayer,Nunca,Nunca
474.0,Mujer,Dejó la escuela antes de los 16 años,En la última semana,En la última decada,En la última semana,En la última semana
475.0,Mujer,Educación Técnica o de Universidad(No finalizada),En la última decada,Ayer,Nunca,Nunca
476.0,Mujer,Grado Universitario,Ayer,Nunca,Nunca,Nunca
477.0,Mujer,Grado Universitario,En el último año,Ayer,Nunca,Nunca
478.0,Hombre,Grado Universitario,Ayer,En la última semana,Nunca,Nunca
479.0,Mujer,Diploma/certificado profesional,Ayer,En la última semana,Nunca,Nunca
480.0,Mujer,Grado Universitario,Ayer,En la última semana,Nunca,Nunca
481.0,Mujer,Maestría finalizada,Ayer,En la última semana,Nunca,Nunca
482.0,Hombre,Educación Técnica o de Universidad(No finalizada),En el último año,En la última decada,Nunca,En la última decada
483.0,Mujer,Grado Universitario,Ayer,En la última decada,Nunca,Hace mas de una decada
484.0,Hombre,Educación Técnica o de Universidad(No finalizada),Nunca,Ayer,Nunca,Hace mas de una decada
485.0,Mujer,Grado Universitario,En la última decada,Ayer,Nunca,Nunca
486.0,Mujer,Dejó la escuela a los 16 años,En el último mes,Ayer,Nunca,Nunca
487.0,Mujer,Dejó la escuela a los 16 años,Ayer,Ayer,Nunca,Nunca
488.0,Hombre,Dejó la escuela a los 18 años,En la última semana,En el último año,Nunca,Nunca
489.0,Mujer,Dejó la escuela a los 18 años,En el último mes,Ayer,Hace mas de una decada,Hace mas de una decada
490.0,Hombre,Dejó la escuela a los 16 años,Ayer,Ayer,Nunca,Nunca
491.0,Hombre,Dejó la escuela antes de los 16 años,En el último año,Ayer,Nunca,Nunca
492.0,Hombre,Educación Técnica o de Universidad(No finalizada),En la última semana,Ayer,Nunca,Nunca
493.0,Mujer,Diploma/certificado profesional,En la última semana,Ayer,Hace mas de una decada,Hace mas de una decada
494.0,Hombre,Dejó la escuela a los 18 años,Ayer,Ayer,Nunca,Nunca
495.0,Hombre,Diploma/certificado profesional,En la última semana,Ayer,Nunca,Nunca
496.0,Hombre,Educación Técnica o de Universidad(No finalizada),Ayer,En la última decada,Nunca,Nunca
497.0,Hombre,Diploma/certificado profesional,En el último mes,Ayer,Nunca,Nunca
498.0,Hombre,Educación Técnica o de Universidad(No finalizada),En el último año,En la última semana,Nunca,Nunca
499.0,Hombre,Maestría finalizada,Ayer,En la última semana,Nunca,Nunca
500.0,Hombre,Dejó la escuela a los 16 años,En el último mes,Ayer,Nunca,Nunca
501.0,Mujer,Educación Técnica o de Universidad(No finalizada),En la última semana,Ayer,En la última semana,Hace mas de una decada
502.0,Mujer,Diploma/certificado profesional,En el último año,Ayer,Nunca,Nunca
503.0,Mujer,Diploma/certificado profesional,En el último año,En la última semana,Nunca,Nunca
504.0,Hombre,Educación Técnica o de Universidad(No finalizada),En la última semana,Ayer,Nunca,Nunca
505.0,Mujer,Diploma/certificado profesional,Hace mas de una decada,En el último año,Hace mas de una decada,Nunca
506.0,Hombre,Dejó la escuela a los 16 años,Hace mas de una decada,Ayer,Nunca,Nunca
507.0,Hombre,Diploma/certificado profesional,En el último año,En la última semana,Nunca,Nunca
508.0,Hombre,Grado Universitario,En el último mes,En la última semana,Nunca,Nunca
509.0,Hombre,Grado Universitario,En el último año,Ayer,Nunca,Nunca
510.0,Hombre,Dejó la escuela a los 16 años,En la última semana,En la última semana,Nunca,Nunca
511.0,Mujer,Maestría finalizada,En la última semana,Nunca,Nunca,Nunca
512.0,Hombre,Grado Universitario,En la última semana,En el último año,Hace mas de una decada,Nunca
513.0,Mujer,Maestría finalizada,En la última semana,En el último año,Hace mas de una decada,Hace mas de una decada
514.0,Hombre,Educación Técnica o de Universidad(No finalizada),Ayer,Ayer,Nunca,Nunca
515.0,Hombre,Dejó la escuela a los 16 años,En el último año,En el último año,En la última decada,Hace mas de una decada
516.0,Hombre,Dejó la escuela a los 16 años,Ayer,Nunca,Nunca,Nunca
517.0,Mujer,Dejó la escuela a los 17 años,En la última semana,Ayer,Nunca,Nunca
518.0,Mujer,Dejó la escuela a los 16 años,Ayer,En la última semana,En la última semana,En la última semana
519.0,Mujer,Maestría finalizada,En la última decada,En la última semana,Nunca,Nunca
520.0,Hombre,Diploma/certificado profesional,En la última decada,Ayer,Nunca,En la última decada
521.0,Hombre,Maestría finalizada,En la última semana,En la última decada,En la última semana,En la última semana
522.0,Mujer,Grado Universitario,En la última semana,En la última decada,Nunca,Nunca
523.0,Mujer,Dejó la escuela a los 16 años,En el último año,En el último mes,Nunca,Nunca
524.0,Hombre,Educación Técnica o de Universidad(No finalizada),En la última semana,Ayer,Nunca,Nunca
525.0,Hombre,Educación Técnica o de Universidad(No finalizada),En la última semana,Ayer,Nunca,Nunca
526.0,Mujer,Dejó la escuela antes de los 16 años,En la última decada,En la última semana,En la última semana,En la última semana
527.0,Mujer,Grado Universitario,En la última semana,Ayer,Hace mas de una decada,Nunca
528.0,Hombre,Dejó la escuela a los 18 años,Ayer,Nunca,Nunca,Nunca
529.0,Hombre,Diploma/certificado profesional,En el último mes,En el último año,Nunca,Nunca
530.0,Hombre,Doctorado finalizado,Ayer,En la última semana,Nunca,Nunca
531.0,Mujer,Diploma/certificado profesional,En la última semana,En la última decada,Nunca,Nunca
532.0,Hombre,Grado Universitario,En la última semana,Hace mas de una decada,Nunca,Nunca
533.0,Hombre,Grado Universitario,En la última semana,Ayer,En la última decada,Hace mas de una decada
534.0,Mujer,Grado Universitario,En el último mes,Nunca,Nunca,Nunca
535.0,Hombre,Maestría finalizada,En el último mes,Nunca,Nunca,Nunca
536.0,Mujer,Maestría finalizada,Ayer,Nunca,Nunca,Nunca
537.0,Mujer,Grado Universitario,En la última semana,En la última semana,Nunca,En la última decada
538.0,Mujer,Grado Universitario,Ayer,En el último mes,Nunca,Nunca
539.0,Mujer,Educación Técnica o de Universidad(No finalizada),Nunca,Nunca,Nunca,Nunca
540.0,Mujer,Grado Universitario,Ayer,Nunca,Nunca,Nunca
541.0,Hombre,Maestría finalizada,Ayer,Nunca,Nunca,Nunca
542.0,Mujer,Grado Universitario,En la última semana,Hace mas de una decada,Nunca,Nunca
543.0,Mujer,Grado Universitario,En el último mes,Nunca,Nunca,Nunca
544.0,Hombre,Dejó la escuela a los 17 años,Ayer,En el último año,Nunca,Hace mas de una decada
545.0,Mujer,Grado Universitario,Ayer,Nunca,Nunca,Nunca
546.0,Mujer,Dejó la escuela a los 16 años,En la última semana,En el último mes,Nunca,Nunca
547.0,Mujer,Diploma/certificado profesional,En la última semana,Nunca,Nunca,Nunca
548.0,Mujer,Educación Técnica o de Universidad(No finalizada),En la última decada,En la última semana,En la última semana,Nunca
549.0,Mujer,Maestría finalizada,En la última semana,Nunca,Nunca,Nunca
550.0,Hombre,Grado Universitario,En el último mes,Nunca,Nunca,Nunca
551.0,Mujer,Maestría finalizada,En el último mes,En la última semana,Nunca,Nunca
552.0,Mujer,Grado Universitario,Ayer,En la última decada,Nunca,Nunca
553.0,Mujer,Maestría finalizada,En el último mes,En el último mes,Nunca,Nunca
554.0,Mujer,Maestría finalizada,En la última decada,Nunca,Nunca,Nunca
555.0,Mujer,Maestría finalizada,Ayer,En la última semana,Nunca,Nunca
556.0,Mujer,Doctorado finalizado,En el último mes,Nunca,Nunca,Nunca
557.0,Mujer,Maestría finalizada,Ayer,Nunca,Nunca,Nunca
558.0,Mujer,Grado Universitario,Ayer,En la última semana,Nunca,Nunca
559.0,Mujer,Grado Universitario,En el último mes,Nunca,Nunca,Nunca
560.0,Mujer,Grado Universitario,En la última semana,En la última semana,Nunca,Nunca
561.0,Mujer,Grado Universitario,Ayer,Hace mas de una decada,Nunca,Nunca
562.0,Mujer,Grado Universitario,Ayer,Nunca,Nunca,Nunca
563.0,Mujer,Grado Universitario,En la última semana,En la última semana,Nunca,Nunca
564.0,Mujer,Maestría finalizada,Ayer,En la última semana,Nunca,Nunca
565.0,Mujer,Maestría finalizada,En la última semana,En la última semana,Nunca,Nunca
566.0,Mujer,Educación Técnica o de Universidad(No finalizada),En la última decada,En la última decada,Nunca,Nunca
567.0,Mujer,Maestría finalizada,En la última semana,Nunca,Nunca,Nunca
568.0,Mujer,Grado Universitario,En la última semana,En el último mes,Nunca,Nunca
569.0,Hombre,Grado Universitario,Ayer,En la última decada,Nunca,Nunca
570.0,Hombre,Maestría finalizada,Hace mas de una decada,Hace mas de una decada,Nunca,Nunca
571.0,Mujer,Doctorado finalizado,Ayer,Hace mas de una decada,Nunca,Nunca
572.0,Mujer,Diploma/certificado profesional,Ayer,Nunca,Nunca,Nunca
573.0,Mujer,Maestría finalizada,Ayer,Nunca,Nunca,Nunca
574.0,Hombre,Diploma/certificado profesional,Ayer,En la última decada,Nunca,Nunca
575.0,Mujer,Educación Técnica o de Universidad(No finalizada),En la última semana,En el último mes,Nunca,Nunca
576.0,Mujer,Grado Universitario,Ayer,En la última semana,Nunca,Nunca
577.0,Hombre,Dejó la escuela a los 16 años,En la última semana,Nunca,Nunca,Nunca
578.0,Mujer,Maestría finalizada,En el último mes,Nunca,Nunca,Nunca
579.0,Mujer,Grado Universitario,En el último mes,En la última semana,Nunca,Nunca
580.0,Mujer,Maestría finalizada,Ayer,Hace mas de una decada,Nunca,Nunca
581.0,Mujer,Maestría finalizada,En la última semana,En la última semana,Nunca,Nunca
582.0,Mujer,Educación Técnica o de Universidad(No finalizada),Ayer,En la última semana,Nunca,Nunca
583.0,Hombre,Educación Técnica o de Universidad(No finalizada),Ayer,En el último año,Nunca,Nunca
584.0,Mujer,Diploma/certificado profesional,Ayer,Nunca,Nunca,Nunca
585.0,Mujer,Educación Técnica o de Universidad(No finalizada),En la última semana,En el último mes,Nunca,Nunca
586.0,Hombre,Grado Universitario,En la última decada,Hace mas de una decada,Nunca,Nunca
587.0,Hombre,Diploma/certificado profesional,En la última decada,En el último mes,Nunca,Nunca
588.0,Hombre,Educación Técnica o de Universidad(No finalizada),En la última semana,Ayer,Nunca,Nunca
589.0,Mujer,Dejó la escuela a los 16 años,En la última semana,Ayer,Nunca,Nunca
590.0,Mujer,Educación Técnica o de Universidad(No finalizada),En la última decada,Ayer,Nunca,Nunca
591.0,Hombre,Dejó la escuela antes de los 16 años,En el último año,Ayer,Nunca,Hace mas de una decada
592.0,Mujer,Grado Universitario,Ayer,Hace mas de una decada,Nunca,Nunca
593.0,Mujer,Diploma/certificado profesional,En la última semana,Ayer,En la última decada,Nunca
594.0,Hombre,Diploma/certificado profesional,En la última semana,En el último año,Nunca,Nunca
595.0,Hombre,Dejó la escuela a los 16 años,En la última semana,En el último año,Nunca,Nunca
596.0,Hombre,Diploma/certificado profesional,Ayer,Hace mas de una decada,Hace mas de una decada,Nunca
597.0,Hombre,Dejó la escuela a los 16 años,En la última semana,En el último año,Nunca,Nunca
598.0,Mujer,Diploma/certificado profesional,Hace mas de una decada,En el último mes,Hace mas de una decada,Nunca
599.0,Mujer,Diploma/certificado profesional,En la última semana,Ayer,Nunca,Nunca
600.0,Hombre,Educación Técnica o de Universidad(No finalizada),En el último mes,Ayer,Nunca,Nunca
601.0,Mujer,Maestría finalizada,Ayer,Hace mas de una decada,Nunca,Nunca
602.0,Hombre,Educación Técnica o de Universidad(No finalizada),En el último mes,Ayer,Nunca,Nunca
603.0,Hombre,Educación Técnica o de Universidad(No finalizada),Ayer,Ayer,Nunca,Nunca
604.0,Hombre,Educación Técnica o de Universidad(No finalizada),Ayer,Ayer,Nunca,Nunca
605.0,Hombre,Grado Universitario,En la última semana,En el último año,Nunca,Nunca
606.0,Mujer,Educación Técnica o de Universidad(No finalizada),En la última semana,En el último año,Nunca,Nunca
607.0,Mujer,Maestría finalizada,En la última semana,Ayer,En la última semana,Hace mas de una decada
608.0,Hombre,Grado Universitario,En la última semana,En el último mes,Nunca,Nunca
609.0,Hombre,Educación Técnica o de Universidad(No finalizada),En la última decada,En la última decada,Hace mas de una decada,Hace mas de una decada
610.0,Hombre,Grado Universitario,Ayer,Ayer,En la última semana,En la última semana
611.0,Mujer,Diploma/certificado profesional,En el último mes,En el último año,En la última decada,Nunca
612.0,Hombre,Educación Técnica o de Universidad(No finalizada),Ayer,Ayer,Nunca,Nunca
613.0,Hombre,Grado Universitario,En la última semana,En el último año,En la última semana,Nunca
614.0,Hombre,Grado Universitario,Hace mas de una decada,Ayer,Nunca,Nunca
615.0,Mujer,Maestría finalizada,Ayer,Ayer,Nunca,Nunca
616.0,Mujer,Dejó la escuela antes de los 16 años,En el último año,En la última decada,En la última decada,En la última decada
617.0,Mujer,Maestría finalizada,Ayer,En la última semana,Nunca,Nunca
618.0,Mujer,Educación Técnica o de Universidad(No finalizada),En la última decada,Ayer,Hace mas de una decada,Nunca
619.0,Hombre,Diploma/certificado profesional,En el último año,Ayer,Nunca,Hace mas de una decada
620.0,Mujer,Grado Universitario,En la última semana,En la última decada,Nunca,Nunca
621.0,Hombre,Maestría finalizada,En la última semana,Nunca,Nunca,Nunca
622.0,Hombre,Dejó la escuela a los 18 años,En la última semana,En el último año,Nunca,Nunca
623.0,Hombre,Maestría finalizada,En la última semana,En la última semana,Nunca,Nunca
624.0,Mujer,Maestría finalizada,En la última semana,Hace mas de una decada,Nunca,Nunca
625.0,Mujer,Maestría finalizada,Ayer,Hace mas de una decada,Nunca,Nunca
626.0,Mujer,Doctorado finalizado,Ayer,Hace mas de una decada,Nunca,Nunca
627.0,Mujer,Diploma/certificado profesional,Ayer,En la última semana,Nunca,Nunca
628.0,Hombre,Grado Universitario,Ayer,En la última semana,Nunca,Nunca
629.0,Hombre,Doctorado finalizado,En la última semana,En el último año,Nunca,Nunca
630.0,Mujer,Doctorado finalizado,En la última semana,En la última decada,Nunca,Nunca
631.0,Mujer,Doctorado finalizado,En la última semana,Nunca,Nunca,Nunca
632.0,Mujer,Doctorado finalizado,Ayer,En la última semana,Nunca,Nunca
633.0,Mujer,Grado Universitario,En la última semana,Nunca,Nunca,Nunca
634.0,Mujer,Grado Universitario,En la última semana,En la última semana,Nunca,Nunca
635.0,Mujer,Maestría finalizada,En la última semana,En la última decada,Nunca,Nunca
636.0,Mujer,Doctorado finalizado,Ayer,En el último año,Nunca,Hace mas de una decada
637.0,Hombre,Grado Universitario,En la última semana,En la última decada,Nunca,Nunca
638.0,Mujer,Grado Universitario,En el último mes,Hace mas de una decada,Nunca,Nunca
639.0,Mujer,Diploma/certificado profesional,En el último mes,Nunca,Nunca,Nunca
640.0,Mujer,Grado Universitario,En la última semana,Nunca,Nunca,Nunca
641.0,Hombre,Dejó la escuela a los 16 años,En la última semana,Ayer,Nunca,Nunca
642.0,Hombre,Grado Universitario,En la última semana,Hace mas de una decada,Nunca,Nunca
643.0,Hombre,Maestría finalizada,En la última semana,Hace mas de una decada,Nunca,Nunca
644.0,Mujer,Maestría finalizada,En la última semana,En el último mes,Nunca,Nunca
645.0,Hombre,Educación Técnica o de Universidad(No finalizada),En la última semana,En el último mes,Nunca,Nunca
646.0,Hombre,Grado Universitario,En la última semana,Hace mas de una decada,Nunca,Nunca
